pair,2019,2020,2021,2022,2023,2024,2024,2024,2024,2025,2026,2027,2028,2029,2030
Eurocontrol,3372000,1390000,1813000,2971000,3234000,3409000,3409000,3409000,3409000,3482000,3565000,3642000,3723000,3779000,3843000
