ICAO_Code,Subject Descriptor,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
MS,GGE,858.966,870.232,874.8829999999999,1004.6649999999998,952.3659999999999,914.925,884.5929999999998,880.1470000000002,851.0429999999999,837.4219999999999,830.0970000000001,825.3809999999999,822.6
MS,population,582.105,587.9689999999999,594.1789999999999,599.7099999999999,604.833,609.906,615.3,620.5989999999999,625.8090000000001,631.0079999999998,636.1949999999999,641.366,646.5219999999999
O,GDP,384561.61799999996,388819.34699999995,388750.39200000005,372758.925,383342.145,390160.67100000003,388260.823,390326.196,398389.83999999997,408429.23799999995,420194.46799999994,428051.15599999996,434685.29999999993
O,GGE,326.404,322.48800000000006,328.37600000000003,367.165,316.006,289.492,310.23300000000006,313.966,308.99199999999996,310.363,308.91,305.704,303.782
O,population,416.8159999999999,423.88300000000004,431.25,439.523,446.242,455.60600000000005,463.94500000000005,472.42,481.06499999999994,489.87399999999997,498.864,508.01800000000003,517.348
U,GDP,152930.68899999998,157577.63100000002,161601.541,155971.38799999998,163054.403,165077.842,172351.68000000002,178549.236,184106.20799999998,188423.55899999998,193340.22400000005,198141.641,203188.34
U,GGE,336.21900000000005,315.119,317.274,353.961,327.381,350.471,371.24,357.214,347.373,343.464,341.485,339.41700000000003,337.527
U,population,286.221,287.21299999999997,288.16499999999996,288.81500000000005,289.095,285.65200000000004,284.936,283.105,285.151,286.983,288.769,290.01700000000005,291.015
Y,GDP,356627.39400000003,361832.86399999994,367774.633,358528.56300000014,373735.549,378080.492,376887.11100000003,384119.52200000006,392462.02300000004,400437.28499999986,408063.93500000006,415628.44500000007,423556.618
Y,GGE,903.1079999999998,911.5880000000001,920.2180000000002,972.167,934.8180000000001,961.7749999999999,949.3520000000001,999.086,945.7969999999999,919.2780000000001,921.1670000000001,913.7610000000001,907.7180000000001
Y,population,340.88100000000003,344.77700000000004,348.43100000000004,352.06000000000006,357.221,360.9459999999999,364.9460000000001,368.54999999999995,372.12999999999994,375.659,379.143,382.57400000000007,385.9410000000001
Z,GDP,438903.7200000001,454711.24600000004,456246.594,374330.809,406716.89099999995,400854.647,451965.21300000005,474306.09899999993,494313.05,508688.526,521983.311,535562.565,549804.0939999999
Z,GGE,420.09599999999995,425.65600000000006,425.648,525.82,494.76599999999996,506.18500000000006,469.71600000000007,463.362,455.33299999999997,454.3430000000001,453.68799999999993,453.20699999999994,453.94199999999995
Z,population,3497.844,3523.668,3548.7899999999995,3569.3910000000005,3586.364,3600.24,3615.985,3632.6200000000003,3648.9040000000005,3664.5020000000004,3679.4079999999994,3693.663,3707.565999999999
