code,region
LF,France
LI,Italie
LE,Espagne
L,Europe_Sud
E,Europe_Nord
Y,Océanie
MS,Amérique_Centrale_et_Sud
H,Afrique_Est_Centrale_Australe
Z,Asie_sud_est
O,Moyen_Orient
C,Canda_Groenland
U,Asie_centrale_Russie
K,USA
G,Afrique_Nord_Ouest
D,Afrique_Nord_Centrale
ED,Allemagne
EG,Royaume-Uni
LP,Portugal
LS,Suisse
